"Linux Name","Linux Keycode","OS-X Name","OS-X Keycode","AT set1 keycode","AT set2 keycode","AT set3 keycode",XT,"XT KBD","USB Keycodes","Win32 Name","Win32 Keycode","Xwin XT","Xfree86 KBD XT"
KEY_MESSENGER,0x1ae,,,,,,,,,,,,
KEY_DISPLAYTOGGLE,0x1af,,,,,,,,,,,,
KEY_SPELLCHECK,0x1b0,,,,,,,,,,,,
KEY_LOGOFF,0x1b1,,,,,,,,,,,,
KEY_DOLLAR,0x1b2,,,,,,,,,,,,
KEY_EURO,0x1b3,,,,,,,,,,,,
KEY_FRAMEBACK,0x1b4,,,,,,,,,,,,
KEY_FRAMEFORWARD,0x1b5,,,,,,,,,,,,
KEY_CONTEXT_MENU,0x1b6,,,,,,,,,,,,
KEY_MEDIA_REPEAT,0x1b7,,,,,,,,,,,,
KEY_DEL_EOL,0x1c0,,,,,,,,,,,,
KEY_DEL_EOS,0x1c1,,,,,,,,,,,,
KEY_INS_LINE,0x1c2,,,,,,,,,,,,
KEY_DEL_LINE,0x1c3,,,,,,,,,,,,
KEY_FN,0x1d0,,,,,,,,,,,,
KEY_FN_ESC,0x1d1,,,,,,,,,,,,
KEY_FN_F1,0x1d2,,,,,,,,,,,,
KEY_FN_F2,0x1d3,,,,,,,,,,,,
KEY_FN_F3,0x1d4,,,,,,,,,,,,
KEY_FN_F4,0x1d5,,,,,,,,,,,,
KEY_FN_F5,0x1d6,,,,,,,,,,,,
KEY_FN_F6,0x1d7,,,,,,,,,,,,
KEY_FN_F7,0x1d8,,,,,,,,,,,,
KEY_FN_F8,0x1d9,,,,,,,,,,,,
KEY_FN_F9,0x1da,,,,,,,,,,,,
KEY_FN_F10,0x1db,,,,,,,,,,,,
KEY_FN_F11,0x1dc,,,,,,,,,,,,
KEY_FN_F12,0x1dd,,,,,,,,,,,,
KEY_FN_1,0x1de,,,,,,,,,,,,
KEY_FN_2,0x1df,,,,,,,,,,,,
KEY_FN_D,0x1e0,,,,,,,,,,,,
KEY_FN_E,0x1e1,,,,,,,,,,,,
KEY_FN_F,0x1e2,,,,,,,,,,,,
KEY_FN_S,0x1e3,,,,,,,,,,,,
KEY_FN_B,0x1e4,,,,,,,,,,,,
KEY_BRL_DOT1,0x1f1,,,,,,,,,,,,
KEY_BRL_DOT2,0x1f2,,,,,,,,,,,,
KEY_BRL_DOT3,0x1f3,,,,,,,,,,,,
KEY_BRL_DOT4,0x1f4,,,,,,,,,,,,
KEY_BRL_DOT5,0x1f5,,,,,,,,,,,,
KEY_BRL_DOT6,0x1f6,,,,,,,,,,,,
KEY_BRL_DOT7,0x1f7,,,,,,,,,,,,
KEY_BRL_DOT8,0x1f8,,,,,,,,,,,,
KEY_BRL_DOT9,0x1f9,,,,,,,,,,,,
KEY_BRL_DOT10,0x1fa,,,,,,,,,,,,
KEY_NUMERIC_0,0x200,,,,,,,,,,,,
KEY_NUMERIC_1,0x201,,,,,,,,,,,,
KEY_NUMERIC_2,0x202,,,,,,,,,,,,
KEY_NUMERIC_3,0x203,,,,,,,,,,,,
KEY_NUMERIC_4,0x204,,,,,,,,,,,,
KEY_NUMERIC_5,0x205,,,,,,,,,,,,
KEY_NUMERIC_6,0x206,,,,,,,,,,,,
KEY_NUMERIC_7,0x207,,,,,,,,,,,,
KEY_NUMERIC_8,0x208,,,,,,,,,,,,
KEY_NUMERIC_9,0x209,,,,,,,,,,,,
KEY_NUMERIC_STAR,0x20a,,,,,,,,,,,,
KEY_NUMERIC_POUND,0x20b,,,,,,,,,,,,
KEY_RFKILL,0x20c,,,,,,,,,,,,
